Name,Desc,Price,Rating,Total Value
Penthouse P1,3 guests 路 2 bedrooms 路 2 beds 路 1.5 bathrooms,"鈧1,579/ night",4.57聽(51 reviews),"鈧6,687 total"
"A Perfect Getaway w 1bedroom, balcony, living room",2 guests 路 1 bedroom 路 1 bed 路 2 bathrooms,"鈧1,546/ night",4.63聽(8 reviews),"鈧6,185 total"
Private Villa with a 2 acre garden - Frangipani,2 guests 路 1 bedroom 路 1 bed 路 1 private bathroom,"鈧3,994/ night",4.75聽(4 reviews),"鈧15,976 total"
Fabulous place located in heart of the city,6 guests 路 3 bedrooms 路 3 beds 路 2.5 bathrooms,"鈧1,997/ night",5.0聽(8 reviews),"鈧7,988 total"
Spacious 2 Bed Family Apartments for vacation,4 guests 路 2 bedrooms 路 3 beds 路 2 bathrooms,"鈧3,835/ night",4.94聽(16 reviews),"鈧17,341 total"
Ground floor in bungalow; serene & well-connected,3 guests 路 1 bedroom 路 2 beds 路 1.5 bathrooms,"鈧1,726/ night",4.87聽(30 reviews),"鈧7,304 total"
REGENCY TERRACE GARDEN APARTMENT,4 guests 路 2 bedrooms 路 3 beds 路 3 bathrooms,"鈧2,866/ night",4.57聽(77 reviews),"鈧11,864 total"
Room with attached balcony including 3 time meals,2 guests 路 1 bedroom 路 2 beds 路 1 private bathroom,"鈧1,368/ night",4.78聽(9 reviews),"鈧5,473 total"
Aleeza park 2 BHK fully furnished apartment,3 guests 路 2 bedrooms 路 2 beds 路 2 bathrooms,"鈧2,302/ night",4.33聽(3 reviews),"鈧9,808 total"
Hotel Elysian Residency,2 guests 路 1 bedroom 路 1 bed 路 1 private bathroom,"鈧2,625/ night",,"鈧10,499 total"
Private Villa with a 2 acre garden - Lily Pond,2 guests 路 1 bedroom 路 1 bed 路 1 shared bathroom,"鈧3,994/ night",5.0聽(4 reviews),"鈧15,976 total"
"A perfect place to give a break in same city. 
Place is 30% more greener than normal place in city.",2 guests 路 2 bedrooms 路 1 bed 路 1.5 bathrooms,"鈧1,711/ night",,"鈧6,843 total"
2 Bedroom Private Villa spread over 2 acre lawns,4 guests 路 2 bedrooms 路 2 beds 路 2 bathrooms,"鈧7,988/ night",4.92聽(14 reviews),"鈧31,953 total"
Comfortable Luxury in Ahmedabad ,3 guests 路 1 bedroom 路 1 bed 路 1 shared bathroom,"鈧2,043/ night",4.46聽(28 reviews),"鈧8,171 total"
Cozy apartment with amazing features,5 guests 路 3 bedrooms 路 6 beds 路 3 bathrooms,"鈧2,111/ night",4.69聽(26 reviews),"鈧8,445 total"
Athithi Griha ( AC ROOM ),2 guests 路 1 bedroom 路 1 bed 路 1 shared bathroom,鈧842/ night,4.57聽(23 reviews),"鈧3,369 total"
Boutique luxury in Ahmedabad,3 guests 路 1 bedroom 路 2 beds 路 1 bathroom,"鈧2,043/ night",4.50聽(4 reviews),"鈧8,171 total"
"""SEREN"" Room at Srinekatan Heritage Villa Homestay",2 guests 路 1 bedroom 路 2 beds 路 1.5 shared bathrooms,"鈧2,182/ night",4.44聽(18 reviews),"鈧9,129 total"
Grand heritage room (MG & R),2 guests 路 1 bedroom 路 1 bed 路 1 bathroom,"鈧5,355鈧4,552/ night",5.0聽(4 reviews),"鈧18,207 total"
Family Friendly Home-2 Free Wi Fi,2 guests 路 1 bedroom 路 3 beds 路 1 private bathroom,鈧867/ night,4.46聽(28 reviews),"鈧3,469 total"
